Code,Name,Close,MA25,MA75,Turnover,TurnoverMA25,TurnoverMA75,Category,DataDate
5195,バンドー化学,2039.0,2092.2,2097.8,1.8,0.9,1.2,,2026-05-08
5201,ＡＧＣ,5580.0,5675.2,5860.3,90.8,63.3,73.7,,2026-05-08
5202,日本板硝子,482.0,479.6,545.5,4.8,10.8,17.1,,2026-05-08
5208,有沢製作所,2292.0,2469.2,2274.9,11.9,6.4,6.1,,2026-05-08
5214,日本電気硝子,6915.0,7245.4,6715.7,89.4,50.2,52.6,,2026-05-08
5232,住友大阪セメント,3982.0,3980.3,4070.3,7.1,8.6,8.4,,2026-05-08
5233,太平洋セメント,3618.0,3623.1,3944.6,21.3,20.4,23.8,,2026-05-08
5261,リソルホールディングス,7090.0,7285.2,7799.3,0.8,0.6,0.8,,2026-05-08
5262,日本ヒューム,1172.0,1155.0,1355.7,10.2,4.5,7.9,,2026-05-08
5269,日本コンクリート工業,313.0,313.7,328.2,0.4,0.6,0.8,,2026-05-08
5288,アジアパイルホールディングス,1429.0,1435.4,1439.1,1.9,1.9,2.7,,2026-05-08
5301,東海カーボン,1190.0,1042.2,1033.9,22.1,15.0,16.7,2,2026-05-08
5302,日本カーボン,4855.0,4753.0,4722.8,2.5,2.0,2.8,2,2026-05-08
5310,東洋炭素,6840.0,5884.0,5703.3,11.8,6.6,9.4,2,2026-05-08
5331,ノリタケ,3555.0,3296.6,3233.1,9.1,5.6,6.8,,2026-05-08
5332,ＴＯＴＯ,7083.0,5566.7,5523.2,182.3,90.3,80.5,2,2026-05-08
5333,日本碍子,5374.0,4505.3,4172.1,113.8,60.6,54.4,2,2026-05-08
5334,日本特殊陶業,8679.0,8112.4,7501.0,149.4,73.7,69.3,2,2026-05-08
5344,ＭＡＲＵＷＡ,,,,,,,,
5351,品川リフラ,,,,,,,,
5357,ヨータイ,,,,,,,,
5384,フジミインコーポレーテッド,,,,,,,,
5393,ニチアス,,,,,,,,
5401,日本製鉄,,,,,,,,
5406,神戸製鋼所,,,,,,,,
5408,中山製鋼所,,,,,,,,
5410,合同製鐵,,,,,,,,
5411,ＪＦＥホールディングス,,,,,,,,
5423,東京製鐵,,,,,,,,
5440,共英製鋼,,,,,,,,
5444,大和工業,,,,,,,,
5445,東京鐵鋼,,,,,,,,
5451,ヨドコウ,,,,,,,,
5461,中部鋼鈑,,,,,,,,
5463,丸一鋼管,,,,,,,,
5471,大同特殊鋼,,,,,,,,
5480,日本冶金工業,,,,,,,,
5482,愛知製鋼,,,,,,,,
5535,ミガロホールディングス,,,,,,,,
5541,大平洋金属,,,,,,,,
5563,新日本電工,,,,,,,,
5602,栗本鐵工所,,,,,,,,
5631,日本製鋼所,,,,,,,,
5632,三菱製鋼,,,,,,,,
5659,日本精線,,,,,,,,
5702,大紀アルミニウム工業所,,,,,,,,
5703,日本軽金属ホールディングス,,,,,,,,
5706,三井金属,,,,,,,,
5707,東邦亜鉛,,,,,,,,
5711,三菱マテリアル,,,,,,,,
5713,住友金属鉱山,,,,,,,,
5714,ＤＯＷＡホールディングス,,,,,,,,
5715,古河機械金属,,,,,,,,
5726,大阪チタニウムテクノロジーズ,,,,,,,,
5727,東邦チタニウム,,,,,,,,
5741,ＵＡＣＪ,,,,,,,,
5757,ＣＫサンエツ,,,,,,,,
5801,古河電気工業,,,,,,,,
5802,住友電気工業,,,,,,,,
5803,フジクラ,,,,,,,,
5805,ＳＷＣＣ,,,,,,,,
5821,平河ヒューテック,,,,,,,,
5830,いよぎんホールディングス,,,,,,,,
5831,しずおかフィナンシャルグループ,,,,,,,,
5832,ちゅうぎんフィナンシャルグループ,,,,,,,,
5838,楽天銀行,,,,,,,,
5844,京都フィナンシャルグループ,,,,,,,,
5851,リョービ,,,,,,,,
5852,アーレスティ,,,,,,,,
5857,ＡＲＥホールディングス,,,,,,,,
